Order,bottom-left-square-x,bottom-left-square-o,bottom-left-square-b,top-middle-square-x,top-middle-square-o,top-middle-square-b,top-left-square-x,top-left-square-o,top-left-square-b,bottom-right-square-o,bottom-right-square-x,bottom-right-square-b,bottom-middle-square-o,bottom-middle-square-x,bottom-middle-square-b,middle-right-square-o,middle-right-square-b,middle-right-square-x,middle-left-square-x,middle-left-square-o,middle-left-square-b,top-right-square-x,top-right-square-o,top-right-square-b,Rule_Length,Rule
172,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,9,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x > 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-middle-square-o > 0.5) & (middle-left-square-x <= 0.5)
